Designator,Footprint,Quantity,Value,LCSC Part #
"_5, _4, _3, _2, ",,5,,
BAT1,BAT-TH_2P-P14.50_2462,1,2462,C3029547
"C1, C3, C4",1206,3,22uF,
"C2, C5, C6, C8, C9",1206,5,10uF,
C7,1206,1,0.1uF,
D1,1206,1,D,
L1,1206,1,4.7 uH,
R1,1206,1,100K,
R2,1206,1,15K,
R3,1206,1,1M,
"R4, R5",1206,2,10K,
"R6, R7, R9",1206,3,5.1K,
R8,1206,1,4.7K,
"RF1, RF2",SMA-TH_SMA-KWE902,2,SMA-KWE902,C914554
SW1,KEY-SMD_L4.0-W3.0-LS4.9-1,1,HX 3X4X2-2P-1.6N TACTILE SWITCH,C49234124
U1,GPSM-SMD_24P-L16.0-W12.2-P1.10-BL,1,NEO-M9N-00B,C5119087
U2,BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB,1,ESP32-C3-WROOM-02-N4,C2934560
U3,LCC-16_L16.0-W16.0-P2.00-TL,1,DL-RFM95-915M,C2844473
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,MT3608,C84817
U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
